Dataset,Query,Milliseconds,Average,"Confidence Interval (Min, Max)"
100%,Query 1,17.39,17.38552252451579,"[16.77, 18.0]"
100%,Query 2,17.11,17.112620671590168,"[16.57, 17.66]"
100%,Query 3,69.18,69.18269793192546,"[67.93, 70.44]"
100%,Query 4,168.55,168.55066617329916,"[166.3, 170.8]"
100%,Query 5,272.27,272.26863702138263,"[270.01, 274.53]"
75%,Query 1,13.3,13.304972648620605,"[13.02, 13.59]"
75%,Query 2,12.97,12.969303131103516,"[12.6, 13.34]"
75%,Query 3,51.17,51.165771484375,"[50.73, 51.6]"
75%,Query 4,125.61,125.6075382232666,"[124.18, 127.04]"
75%,Query 5,202.68,202.68385410308838,"[201.36, 204.01]"
50%,Query 1,9.2,9.196186065673828,"[8.94, 9.46]"
50%,Query 2,8.75,8.752965927124023,"[8.52, 8.99]"
50%,Query 3,33.67,33.67204666137695,"[33.03, 34.32]"
50%,Query 4,80.56,80.56461811065674,"[79.82, 81.31]"
50%,Query 5,128.85,128.84857654571533,"[127.67, 130.03]"
25%,Query 1,5.55,5.547118186950684,"[5.35, 5.74]"
25%,Query 2,5.7,5.697933832804362,"[5.47, 5.92]"
25%,Query 3,18.33,18.326878547668457,"[17.76, 18.9]"
25%,Query 4,41.31,41.30596319834391,"[40.74, 41.87]"
25%,Query 5,65.17,65.17326831817627,"[64.57, 65.78]"
