id,name,address,legal_form,registration_details,financial_data,administrators,shareholders,ubo,transactions,kyc_aml_checks
1,Evans-Jones,"PSC 8246, Box 9545
APO AA 13759",S.p.A.,519-36-1692,"[{""year"": 2020, ""revenue"": 683629.3, ""profit"": 26320.27}, {""year"": 2022, ""revenue"": 148550.69, ""profit"": 37926.2}]","[27, 45, 68]","[100, 96, 64]","[976, 902, 827]","[15453, 17758, 10844, 8182]","[17, 1550]"
2,"Orr, Walton and Cantrell","27787 Eric Camp
South Noah, MH 35398",Cooperative,730-03-5877,"[{""year"": 2022, ""revenue"": 693867.69, ""profit"": 398885.19}, {""year"": 2016, ""revenue"": 980656.38, ""profit"": 422023.02}, {""year"": 2018, ""revenue"": 253714.49, ""profit"": 472434.45}]","[63, 80, 76]","[18, 6, 90, 81, 59, 67, 16, 9, 93, 62]",[599],[16491],"[4055, 2535]"
3,Hunt-Davis,"46032 Reed Hill Suite 393
New Amyberg, KS 95463",S.r.l.,700-40-3984,"[{""year"": 2021, ""revenue"": 105550.97, ""profit"": 226120.13}, {""year"": 2022, ""revenue"": 148869.12, ""profit"": 118226.77}]","[5, 36, 10]","[4, 38, 14, 48, 32, 90, 31]","[393, 873]","[5415, 14444]","[4320, 2602]"
4,"Diaz, Smith and Daniel","79481 Heather Prairie Suite 028
North Matthewtown, MA 17603",S.a.S.,663-49-2393,"[{""year"": 2022, ""revenue"": 569082.87, ""profit"": 293078.53}, {""year"": 2023, ""revenue"": 159493.41, ""profit"": 439675.68}, {""year"": 2017, ""revenue"": 812051.81, ""profit"": 5704.0}, {""year"": 2015, ""revenue"": 328698.68, ""profit"": 39647.74}, {""year"": 2019, ""revenue"": 534546.42, ""profit"": 209305.05}]","[19, 70, 96]","[52, 94, 54, 5, 41, 21, 66, 28, 72]",[15],"[17681, 12979, 8562, 11872, 283]",[2812]
5,Page-Miller,"55138 Nicole Highway
Ibarraview, ME 31779",S.p.A.,532-40-3194,"[{""year"": 2017, ""revenue"": 202658.37, ""profit"": 307128.11}, {""year"": 2021, ""revenue"": 328674.44, ""profit"": 366165.04}]",[55],"[76, 94, 72]","[578, 334]","[16468, 4884, 873, 9231, 5547]","[4576, 423]"
6,"Wilkerson, Gray and Rivera","014 Williams Locks
Harrisport, WY 34977",S.a.S.,575-62-4029,"[{""year"": 2018, ""revenue"": 553889.7, ""profit"": 30935.24}, {""year"": 2018, ""revenue"": 249378.52, ""profit"": 80141.3}, {""year"": 2015, ""revenue"": 870486.68, ""profit"": 381006.83}, {""year"": 2021, ""revenue"": 534186.77, ""profit"": 369804.18}, {""year"": 2021, ""revenue"": 930895.38, ""profit"": 225695.42}]","[59, 12, 54]","[42, 8]","[335, 398, 312]","[19934, 7619]","[4495, 1830]"
7,Fox-Sanchez,"1769 Tracy Landing Suite 295
North Erika, CO 03010",S.n.C.,658-18-3663,"[{""year"": 2023, ""revenue"": 750394.87, ""profit"": 248092.09}]","[91, 4, 71]","[41, 67, 68, 21, 22, 84, 55, 61, 46]","[290, 785]","[5404, 19928, 14498, 12761, 8509]","[1691, 1860]"
8,"Heath, Hutchinson and Jones","284 Wood Rapids Apt. 599
North Brettview, TN 22840",Onlus,010-36-3901,"[{""year"": 2018, ""revenue"": 184898.44, ""profit"": 498998.67}, {""year"": 2015, ""revenue"": 172928.37, ""profit"": 368684.31}]","[31, 17]","[66, 16, 80, 89, 25, 45, 52, 11, 49]","[189, 486, 37]","[18694, 5436, 12697, 4514]","[4018, 4156]"
9,Bentley-Dudley,"735 Wendy Lodge
Hillton, VI 56535",S.r.l. a socio unico,136-20-3709,"[{""year"": 2023, ""revenue"": 797902.98, ""profit"": 298281.13}, {""year"": 2015, ""revenue"": 718071.93, ""profit"": 322255.34}, {""year"": 2021, ""revenue"": 161489.57, ""profit"": 79234.18}, {""year"": 2015, ""revenue"": 629949.72, ""profit"": 74730.2}, {""year"": 2016, ""revenue"": 351140.36, ""profit"": 479781.22}]","[52, 89]","[69, 91]","[978, 939]","[11750, 3244]","[3105, 4446, 4036]"
10,Peterson-Beck,"2513 Scott Harbors Apt. 493
Hermanburgh, NE 05048",S.a.S.,425-36-4595,"[{""year"": 2022, ""revenue"": 511023.92, ""profit"": 124782.18}, {""year"": 2022, ""revenue"": 454566.1, ""profit"": 37135.48}, {""year"": 2019, ""revenue"": 972780.83, ""profit"": 357572.44}, {""year"": 2017, ""revenue"": 967044.9, ""profit"": 44941.88}]",[86],"[81, 51, 20]","[701, 618]",[9487],[1080]
11,Munoz Ltd,"39868 Grimes Village
Brandyville, VA 93765",S.r.l.,732-89-3040,"[{""year"": 2021, ""revenue"": 191025.58, ""profit"": 422696.83}, {""year"": 2015, ""revenue"": 704586.46, ""profit"": 456174.58}, {""year"": 2019, ""revenue"": 389959.3, ""profit"": 185234.66}, {""year"": 2020, ""revenue"": 453584.64, ""profit"": 293720.39}, {""year"": 2018, ""revenue"": 703962.44, ""profit"": 249198.33}]","[7, 34]","[9, 16, 54, 33, 51, 80, 98, 42]","[411, 113, 204]","[15548, 14178]","[2889, 4789, 720]"
12,Roth-Gregory,"61484 Pope Points Apt. 530
Port Mark, MD 26964",S.r.l. a socio unico,190-20-6216,"[{""year"": 2015, ""revenue"": 790485.21, ""profit"": 337333.17}, {""year"": 2018, ""revenue"": 668994.51, ""profit"": 318943.76}, {""year"": 2018, ""revenue"": 45584.35, ""profit"": 301467.54}, {""year"": 2019, ""revenue"": 418788.59, ""profit"": 406760.2}, {""year"": 2016, ""revenue"": 387623.32, ""profit"": 119974.58}]","[98, 79, 3]","[94, 12, 76, 92, 41]","[789, 172]","[10984, 15320, 2491, 478]","[3292, 2048, 674]"
