id,type,amount,date,currency
1,Sale,2814.38,2022-07-19,EUR
2,Purchase,9469.41,2022-02-21,AUD
3,Purchase,3878.61,2021-08-05,GBP
4,Refund,1060.38,2020-01-09,USD
5,Sale,6425.49,2019-09-30,AUD
6,Refund,401.8,2019-11-17,GBP
7,Refund,7231.83,2021-08-13,USD
8,Sale,2712.26,2023-12-14,AUD
9,Payment,1057.27,2022-09-13,USD
10,Sale,264.51,2022-01-17,EUR
11,Purchase,8281.03,2023-07-10,AUD
12,Payment,9806.5,2021-01-26,USD
13,Purchase,7916.31,2023-09-21,GBP
14,Payment,1882.08,2022-06-16,AUD
15,Purchase,1022.82,2022-03-23,EUR
16,Refund,5738.32,2023-06-02,USD
17,Refund,1493.57,2019-12-14,EUR
18,Payment,7761.28,2021-09-05,GBP
19,Refund,9216.35,2022-01-15,GBP
20,Refund,1717.81,2022-05-30,EUR
21,Sale,8788.45,2020-07-22,EUR
22,Payment,8361.72,2020-05-15,AUD
23,Refund,6627.37,2021-11-01,EUR
24,Refund,6011.71,2019-11-07,GBP
25,Payment,2184.76,2024-02-18,GBP
26,Refund,3105.21,2022-10-15,USD
27,Payment,9439.75,2022-10-23,USD
28,Purchase,3042.13,2023-12-09,JPY
29,Refund,9092.38,2021-07-15,JPY
30,Purchase,4054.52,2021-08-12,USD
31,Sale,4113.06,2020-02-02,USD
32,Sale,8354.29,2023-11-03,JPY
33,Purchase,4305.62,2019-10-14,EUR
34,Sale,4465.01,2022-09-10,JPY
35,Sale,9503.75,2021-11-19,EUR
36,Refund,1192.9,2020-07-30,EUR
37,Purchase,2714.58,2020-12-27,GBP
38,Purchase,2535.22,2023-11-17,AUD
39,Payment,3426.02,2019-09-15,USD
40,Purchase,327.52,2022-04-24,JPY
41,Purchase,4148.55,2022-04-25,AUD
42,Payment,2582.05,2024-07-19,EUR
43,Purchase,8379.49,2022-06-23,GBP
44,Payment,9200.68,2022-01-28,USD
45,Sale,5903.54,2021-04-27,AUD
46,Sale,8291.55,2020-03-12,USD
47,Purchase,2664.27,2020-01-06,JPY
48,Purchase,2403.54,2019-12-15,AUD
49,Payment,5497.65,2023-04-04,USD
50,Refund,8942.33,2020-06-02,EUR
51,Sale,6262.49,2021-11-14,USD
52,Sale,6622.66,2019-10-05,GBP
53,Sale,7821.36,2022-07-11,AUD
54,Payment,4997.39,2022-03-05,GBP
55,Refund,6086.4,2020-04-11,GBP
56,Refund,2901.99,2022-03-07,AUD
57,Purchase,3685.95,2020-04-24,USD
58,Purchase,7548.84,2019-10-31,JPY
59,Payment,6299.22,2021-02-19,USD
60,Sale,6017.63,2024-07-21,AUD
61,Payment,3698.83,2024-07-06,USD
62,Payment,4065.46,2021-08-18,JPY
63,Payment,6965.01,2020-09-03,JPY
64,Refund,3703.72,2023-05-13,EUR
65,Payment,7743.91,2022-08-14,AUD
66,Refund,822.6,2020-03-27,AUD
67,Sale,7967.49,2020-02-05,USD
68,Payment,3972.69,2023-10-10,GBP
69,Sale,243.27,2021-11-28,EUR
70,Sale,8605.07,2022-05-01,GBP
71,Refund,5931.11,2024-01-19,GBP
72,Purchase,8615.53,2021-02-20,EUR
73,Payment,4308.62,2020-11-22,GBP
74,Sale,1904.92,2023-03-05,JPY
75,Sale,9658.55,2022-09-23,EUR
76,Payment,8013.22,2022-07-02,JPY
77,Refund,2511.06,2024-01-03,JPY
78,Purchase,1703.73,2024-03-19,GBP
79,Purchase,2890.32,2023-06-06,EUR
80,Sale,2627.43,2020-09-13,AUD
81,Payment,8912.54,2021-07-27,EUR
82,Refund,7554.06,2023-09-21,USD
83,Purchase,5121.4,2020-03-29,EUR
84,Payment,8781.05,2021-12-11,EUR
85,Payment,3451.63,2022-03-17,EUR
86,Refund,179.46,2023-11-13,EUR
87,Purchase,3533.84,2021-01-09,EUR
88,Purchase,6099.52,2022-12-04,AUD
89,Payment,5038.24,2023-09-10,EUR
90,Refund,2004.76,2020-07-30,EUR
91,Purchase,1269.43,2019-08-09,EUR
92,Refund,7071.54,2023-05-03,AUD
93,Purchase,2888.25,2023-10-24,AUD
94,Sale,9999.5,2020-03-30,AUD
95,Sale,6071.48,2023-06-12,EUR
96,Payment,3483.87,2020-04-01,USD
97,Payment,3104.0,2024-07-19,EUR
98,Refund,4734.68,2024-03-19,EUR
99,Payment,6905.58,2021-09-04,GBP
100,Purchase,2796.19,2020-01-31,GBP
101,Sale,9022.22,2019-08-19,AUD
102,Payment,7618.97,2021-08-20,USD
103,Payment,4518.77,2023-09-17,JPY
104,Purchase,8208.12,2023-10-23,GBP
105,Sale,1700.11,2019-09-17,AUD
106,Payment,9850.49,2022-05-04,USD
107,Refund,1858.99,2023-04-01,AUD
108,Refund,2428.27,2022-06-17,EUR
109,Sale,4712.58,2023-10-21,AUD
110,Purchase,5492.81,2024-07-09,USD
111,Payment,2547.32,2020-06-10,USD
112,Payment,4925.05,2024-01-25,USD
113,Refund,3765.79,2020-05-08,GBP
114,Payment,1428.15,2023-02-08,USD
115,Purchase,7188.28,2021-07-28,AUD
116,Refund,3667.78,2023-06-06,EUR
117,Purchase,4348.37,2024-02-09,AUD
118,Payment,8846.56,2022-02-10,AUD
119,Sale,7805.16,2022-09-14,GBP
120,Purchase,6838.47,2022-11-24,GBP
121,Payment,1609.24,2023-09-30,USD
122,Refund,9657.99,2020-10-14,USD
123,Payment,5446.11,2021-11-09,AUD
124,Payment,5087.75,2022-01-01,JPY
125,Payment,8102.18,2019-12-15,GBP
126,Payment,7456.12,2020-08-18,JPY
127,Refund,2931.23,2022-01-31,USD
128,Payment,7793.2,2023-11-25,AUD
129,Purchase,7968.94,2024-02-06,EUR
130,Payment,2136.02,2020-01-14,AUD
131,Sale,5012.51,2020-12-12,AUD
132,Refund,665.34,2019-08-12,AUD
133,Refund,2767.05,2023-06-28,JPY
134,Purchase,8353.46,2019-12-23,AUD
135,Purchase,158.66,2020-06-19,EUR
136,Sale,3625.47,2023-10-15,EUR
137,Sale,4870.39,2020-10-30,EUR
138,Purchase,5411.19,2020-03-22,USD
139,Sale,4061.6,2022-11-20,USD
140,Sale,5149.57,2024-03-30,GBP
141,Payment,5316.41,2021-07-29,JPY
142,Purchase,5404.04,2019-10-15,GBP
143,Payment,5163.16,2019-08-29,AUD
144,Purchase,7241.5,2021-11-07,GBP
145,Refund,1819.51,2024-05-07,GBP
146,Purchase,5030.52,2020-12-18,USD
147,Refund,4948.37,2020-03-25,USD
148,Payment,286.17,2020-01-05,JPY
149,Payment,2692.4,2021-06-18,JPY
150,Purchase,1390.94,2024-05-23,EUR
151,Refund,2929.77,2023-10-14,GBP
152,Payment,6937.69,2022-10-07,USD
153,Payment,4750.93,2020-03-15,JPY
154,Sale,5152.25,2020-08-23,AUD
155,Purchase,2863.26,2024-06-16,JPY
156,Sale,6226.55,2021-05-24,USD
157,Payment,3948.62,2020-06-20,JPY
158,Refund,8508.68,2021-11-18,AUD
159,Payment,6340.41,2021-05-20,USD
160,Purchase,3308.16,2022-01-20,GBP
161,Refund,5454.36,2022-09-04,JPY
162,Sale,7018.12,2020-09-07,GBP
163,Purchase,7087.57,2023-04-13,GBP
164,Payment,9506.84,2020-11-22,USD
165,Purchase,3546.86,2020-06-15,GBP
166,Payment,6038.01,2023-12-28,EUR
167,Purchase,5871.43,2024-07-10,USD
168,Sale,7699.47,2021-03-01,JPY
169,Refund,7146.78,2020-04-21,EUR
170,Purchase,2138.89,2020-08-05,USD
171,Refund,4622.17,2023-02-03,AUD
172,Purchase,5170.57,2023-09-27,USD
173,Purchase,3494.3,2023-04-07,JPY
174,Purchase,3520.69,2020-11-23,JPY
175,Purchase,2839.33,2024-06-15,GBP
176,Refund,6988.82,2023-03-21,EUR
177,Sale,2954.58,2024-02-05,AUD
178,Sale,5075.41,2021-04-09,EUR
179,Sale,3921.02,2020-05-13,AUD
180,Purchase,4121.52,2023-04-14,GBP
181,Refund,44.83,2019-08-08,USD
182,Refund,5197.19,2023-12-22,EUR
183,Purchase,2656.95,2023-03-22,GBP
184,Payment,4685.45,2023-10-01,USD
185,Purchase,8263.16,2024-04-20,GBP
186,Sale,2357.54,2021-09-12,EUR
187,Sale,748.42,2020-06-21,JPY
188,Purchase,1392.78,2020-06-24,USD
189,Purchase,5958.26,2020-02-03,EUR
190,Payment,2170.34,2023-11-25,EUR
191,Purchase,5810.38,2022-04-15,AUD
192,Sale,7986.56,2019-09-07,AUD
193,Payment,357.42,2022-09-27,GBP
194,Refund,692.47,2020-08-22,GBP
