id,name,address,legal_form,registration_details,financial_data,administrators,shareholders,ubo,transactions,kyc_aml_checks
1,Lee-Wright,"96636 Rodriguez Brooks
North Robert, CT 16385",S.r.l. a socio unico,552-61-3829,"[{""year"": 2018, ""revenue"": 14444.52, ""profit"": 166261.66}]","[31, 10, 61]","[44, 89, 92, 2, 74, 19, 57, 71, 29, 80]","[798, 209, 813]","[10820, 17073]","[4137, 4828]"
2,Robertson-Ward,"4291 Miller Lodge Apt. 755
North Ryanfurt, NC 46166",S.r.l.,044-65-3371,"[{""year"": 2016, ""revenue"": 423036.65, ""profit"": 440564.51}, {""year"": 2016, ""revenue"": 178648.54, ""profit"": 324303.9}, {""year"": 2020, ""revenue"": 157225.59, ""profit"": 191868.53}]","[46, 13]","[2, 67]","[473, 463]","[7390, 19176, 6985, 673]","[3499, 3539]"
3,Taylor PLC,"USCGC Stephens
FPO AA 06631",S.r.l.,314-46-7812,"[{""year"": 2017, ""revenue"": 348270.24, ""profit"": 108002.79}, {""year"": 2020, ""revenue"": 777952.37, ""profit"": 193424.87}, {""year"": 2018, ""revenue"": 451264.84, ""profit"": 31623.51}, {""year"": 2020, ""revenue"": 873166.29, ""profit"": 398420.05}, {""year"": 2022, ""revenue"": 602932.55, ""profit"": 455993.71}]",[57],"[35, 79, 57, 77, 63, 17]","[5, 906, 203]","[2494, 1339, 14472]","[977, 3331, 4953]"
4,Perry-Gilbert,"96156 Solomon Dale
North Amy, FM 22864",S.r.l. a socio unico,607-27-3434,"[{""year"": 2023, ""revenue"": 832988.85, ""profit"": 185123.03}, {""year"": 2020, ""revenue"": 35876.25, ""profit"": 181702.24}]","[21, 16, 4]","[72, 88, 74]",[240],"[14053, 15997]","[1457, 4764]"
5,Kaufman-Zhang,"217 Terry Ways Suite 081
East Rachel, HI 22923",S.a.S.,492-98-9467,"[{""year"": 2023, ""revenue"": 307996.87, ""profit"": 235007.07}, {""year"": 2015, ""revenue"": 59707.79, ""profit"": 388477.55}, {""year"": 2018, ""revenue"": 301027.33, ""profit"": 260653.01}, {""year"": 2015, ""revenue"": 217132.94, ""profit"": 48959.89}, {""year"": 2021, ""revenue"": 653598.9, ""profit"": 281156.26}]","[4, 63]",[7],[201],[13789],[552]
6,Ray and Sons,"606 Steven Tunnel Apt. 365
West Markton, MP 62826",S.r.l. a socio unico,707-98-4389,"[{""year"": 2015, ""revenue"": 719664.39, ""profit"": 146926.61}, {""year"": 2015, ""revenue"": 632601.48, ""profit"": 85201.42}, {""year"": 2019, ""revenue"": 554241.34, ""profit"": 326175.61}, {""year"": 2021, ""revenue"": 235190.21, ""profit"": 17625.95}]","[75, 39]","[32, 17, 74, 18, 66, 68, 22, 8, 16, 35]",[285],"[16588, 1562]",[3272]
7,Burke-Jones,"4496 Joshua Plaza
Christopherport, CO 79235",S.n.C.,144-25-1634,"[{""year"": 2015, ""revenue"": 835547.6, ""profit"": 469472.7}, {""year"": 2015, ""revenue"": 922152.9, ""profit"": 499789.44}, {""year"": 2022, ""revenue"": 17962.63, ""profit"": 388768.54}, {""year"": 2020, ""revenue"": 437826.97, ""profit"": 56987.82}]",[24],"[3, 1, 96, 54, 63]",[428],"[162, 16850, 5240, 2050, 15170]","[255, 3599]"
8,"Huffman, Terry and Holmes","25778 Sarah Pine
Drewport, ME 04009",S.a.S.,490-80-7990,"[{""year"": 2023, ""revenue"": 889221.5, ""profit"": 485619.92}]","[76, 64]","[43, 24, 84, 63, 89]","[51, 977, 593]","[11641, 12296, 7885, 17874]","[4666, 4304]"
9,Johnson-Smith,"76446 Mccormick Fort Apt. 579
Kristenbury, IN 97222",S.p.A.,174-81-2045,"[{""year"": 2020, ""revenue"": 570759.39, ""profit"": 322826.4}]",[33],"[13, 4, 76, 82, 11, 91, 24, 72]","[313, 978]","[3702, 15392, 11396, 19998, 10457]","[4579, 4976, 4902]"
10,Kerr-Thompson,"52877 David Shoal Suite 538
Derekburgh, DC 22756",S.n.C.,222-55-1646,"[{""year"": 2023, ""revenue"": 857158.98, ""profit"": 341409.94}, {""year"": 2021, ""revenue"": 889117.46, ""profit"": 157656.72}]","[79, 16, 74]","[67, 61, 82, 68, 64, 87, 28, 92, 69]",[356],"[8209, 1721]","[1312, 1995]"
