id,type,amount,date,currency
1,Refund,7778.82,2023-08-18,USD
2,Sale,6575.75,2021-05-11,GBP
3,Payment,6281.26,2022-02-24,JPY
4,Payment,2762.86,2023-03-16,JPY
5,Payment,4820.22,2021-09-15,AUD
6,Purchase,5985.36,2019-08-12,GBP
7,Sale,5576.84,2020-12-02,EUR
8,Payment,9291.24,2023-04-12,AUD
9,Purchase,7880.32,2022-09-10,USD
10,Purchase,3680.64,2021-10-07,GBP
11,Sale,4086.56,2022-06-17,GBP
12,Sale,2388.52,2023-06-07,AUD
13,Sale,4773.42,2023-06-05,AUD
14,Purchase,5000.49,2023-02-05,JPY
15,Sale,3161.53,2021-03-15,EUR
16,Purchase,7962.3,2019-11-26,EUR
17,Sale,5972.64,2021-12-12,GBP
18,Purchase,2930.5,2019-09-24,USD
19,Purchase,4676.36,2021-09-12,EUR
20,Payment,8593.03,2021-12-30,AUD
21,Payment,5622.26,2023-06-27,GBP
22,Purchase,418.4,2020-02-10,AUD
23,Sale,355.51,2023-09-27,AUD
24,Refund,117.25,2023-04-17,AUD
25,Refund,6087.64,2022-11-19,GBP
26,Payment,4262.72,2022-02-05,GBP
27,Purchase,2053.24,2023-04-22,GBP
28,Payment,6648.46,2022-11-11,EUR
29,Purchase,1850.85,2023-06-22,EUR
30,Payment,4924.92,2020-12-25,JPY
31,Purchase,6582.13,2019-10-19,AUD
32,Sale,4366.57,2020-08-27,GBP
33,Sale,2983.56,2022-06-29,GBP
34,Sale,900.86,2023-09-29,EUR
35,Payment,6159.55,2020-04-08,JPY
36,Sale,7634.0,2023-08-20,EUR
37,Purchase,5479.89,2022-02-15,JPY
38,Payment,8572.9,2020-11-23,GBP
39,Refund,9572.58,2024-01-01,GBP
40,Purchase,1639.64,2019-12-21,USD
41,Refund,4487.57,2020-03-13,USD
42,Sale,318.98,2021-12-22,EUR
43,Sale,9259.16,2022-01-13,JPY
44,Sale,9943.99,2023-09-02,GBP
45,Payment,689.95,2021-03-03,GBP
46,Payment,4495.74,2020-11-04,GBP
47,Payment,382.84,2023-09-23,AUD
48,Payment,6668.14,2022-04-05,USD
49,Payment,1563.21,2021-11-10,JPY
50,Payment,6174.15,2019-10-07,JPY
51,Purchase,7061.35,2023-10-01,JPY
52,Refund,6777.82,2020-11-30,EUR
53,Refund,4641.08,2022-12-30,GBP
54,Refund,5952.65,2020-05-18,EUR
55,Sale,5719.88,2021-06-05,AUD
56,Payment,1130.77,2022-10-24,EUR
57,Refund,9075.07,2021-03-16,AUD
58,Refund,3100.29,2020-02-20,GBP
59,Sale,2908.01,2019-11-24,AUD
60,Refund,6577.79,2024-01-11,GBP
61,Payment,5700.57,2021-01-27,JPY
62,Refund,1936.84,2024-06-15,GBP
63,Refund,4403.14,2024-05-15,USD
64,Sale,5396.74,2019-08-21,USD
65,Sale,5096.76,2024-04-01,AUD
66,Purchase,1737.71,2023-09-05,EUR
67,Purchase,5563.34,2021-03-19,EUR
68,Refund,4131.62,2022-06-17,USD
69,Sale,3940.98,2022-04-27,EUR
70,Purchase,4222.81,2021-07-04,EUR
71,Sale,1250.53,2020-04-25,JPY
72,Purchase,8075.11,2021-11-29,JPY
73,Payment,3146.36,2023-07-21,AUD
74,Payment,4861.07,2023-01-10,EUR
75,Payment,5467.73,2023-05-20,EUR
76,Payment,8458.25,2024-01-22,AUD
77,Refund,9086.24,2021-04-01,EUR
78,Purchase,5080.3,2021-04-09,USD
79,Refund,4362.58,2022-04-24,JPY
80,Refund,1093.87,2022-05-30,USD
81,Payment,27.04,2024-07-26,EUR
82,Purchase,2003.87,2023-03-15,JPY
83,Sale,5388.32,2020-11-01,AUD
84,Sale,5067.7,2024-05-18,JPY
85,Refund,7843.45,2020-02-29,EUR
86,Payment,3637.47,2022-10-25,USD
87,Purchase,1072.7,2022-10-08,USD
88,Sale,1195.55,2023-07-14,USD
89,Payment,2300.82,2024-06-19,EUR
90,Sale,9899.12,2021-12-12,GBP
91,Sale,7450.54,2021-04-06,JPY
92,Refund,5955.48,2019-12-27,JPY
93,Payment,1423.82,2024-04-02,JPY
94,Sale,7793.31,2019-09-20,USD
95,Purchase,2618.83,2022-06-18,GBP
96,Payment,1928.22,2022-03-09,EUR
97,Refund,2664.83,2022-05-24,USD
98,Refund,3308.1,2020-04-26,USD
99,Refund,8739.09,2024-05-10,EUR
100,Payment,676.57,2023-03-14,USD
101,Purchase,4640.75,2019-08-30,USD
102,Sale,7006.97,2020-10-09,AUD
103,Refund,2516.98,2022-09-28,GBP
104,Payment,56.42,2023-04-04,JPY
105,Purchase,3042.73,2023-08-29,GBP
106,Payment,7635.75,2019-08-31,USD
107,Payment,6293.74,2020-02-11,USD
108,Payment,2270.88,2024-03-03,EUR
109,Refund,504.07,2022-05-06,GBP
110,Sale,106.82,2024-05-11,EUR
111,Refund,3758.76,2022-01-18,EUR
112,Refund,2603.9,2023-06-05,JPY
113,Refund,6427.69,2022-05-12,AUD
114,Payment,7604.35,2020-12-24,JPY
115,Refund,1869.27,2022-08-20,GBP
116,Refund,6065.79,2023-04-28,GBP
117,Refund,1075.33,2020-09-18,USD
118,Refund,7783.07,2020-02-02,AUD
119,Sale,5448.35,2019-09-08,AUD
120,Sale,2903.44,2020-10-26,EUR
121,Refund,2004.5,2024-03-15,USD
122,Purchase,7540.13,2022-12-16,GBP
123,Purchase,6388.28,2020-10-05,USD
124,Purchase,1443.81,2023-04-13,AUD
125,Payment,8137.88,2022-02-11,USD
126,Sale,7907.53,2020-06-15,USD
127,Sale,4937.82,2023-09-20,JPY
128,Payment,437.35,2022-07-31,EUR
129,Payment,1565.15,2023-05-10,USD
130,Refund,9256.44,2022-08-11,AUD
