Dataset,Query,Milliseconds,Average,"Confidence Interval (Min, Max)"
100%,Query 1,10.23,10.23,"(9.82, 10.65)"
100%,Query 2,12.21,12.21,"(11.43, 12.99)"
100%,Query 3,13.27,13.27,"(12.7, 13.84)"
100%,Query 4,26.25,26.25,"(25.08, 27.42)"
100%,Query 5,31.51,31.51,"(30.65, 32.37)"
75%,Query 1,7.72,7.72,"(7.32, 8.13)"
75%,Query 2,9.14,9.14,"(8.72, 9.57)"
75%,Query 3,10.44,10.44,"(9.97, 10.9)"
75%,Query 4,20.02,20.02,"(19.47, 20.57)"
75%,Query 5,24.24,24.24,"(23.76, 24.73)"
50%,Query 1,5.78,5.78,"(5.46, 6.1)"
50%,Query 2,6.81,6.81,"(6.37, 7.24)"
50%,Query 3,8.3,8.3,"(7.92, 8.67)"
50%,Query 4,17.07,17.07,"(16.05, 18.08)"
50%,Query 5,19.07,19.07,"(18.16, 19.98)"
25%,Query 1,3.44,3.44,"(3.2, 3.67)"
25%,Query 2,4.62,4.62,"(4.22, 5.03)"
25%,Query 3,5.76,5.76,"(5.4, 6.13)"
25%,Query 4,10.34,10.34,"(9.79, 10.89)"
25%,Query 5,12.88,12.88,"(12.41, 13.35)"
