Dataset,Query,Milliseconds,Average,"Confidence Interval (Min, Max)"
100%,Query 1,7.17,7.17,"[6.73, 7.62]"
100%,Query 2,5.69,5.69,"[5.33, 6.05]"
100%,Query 3,6.0,6.0,"[5.2, 6.79]"
100%,Query 4,6.01,6.01,"[5.69, 6.33]"
100%,Query 5,6.87,6.87,"[6.57, 7.18]"
75%,Query 1,5.65,5.65,"[5.25, 6.05]"
75%,Query 2,4.81,4.81,"[4.53, 5.09]"
75%,Query 3,4.38,4.38,"[4.1, 4.66]"
75%,Query 4,4.69,4.69,"[4.33, 5.05]"
75%,Query 5,4.95,4.95,"[4.61, 5.28]"
50%,Query 1,4.21,4.21,"[3.88, 4.54]"
50%,Query 2,4.2,4.2,"[3.87, 4.54]"
50%,Query 3,4.37,4.37,"[3.97, 4.76]"
50%,Query 4,3.81,3.81,"[3.44, 4.17]"
50%,Query 5,3.89,3.89,"[3.55, 4.22]"
25%,Query 1,2.92,2.92,"[2.6, 3.23]"
25%,Query 2,2.69,2.69,"[2.41, 2.98]"
25%,Query 3,2.67,2.67,"[2.33, 3.01]"
25%,Query 4,2.63,2.63,"[2.32, 2.93]"
25%,Query 5,3.03,3.03,"[2.76, 3.31]"
